EU CODE,EU Description,Local item code,Product,QTY,Sales,Product Line,Company,Country,Suppliers,PROJECT CATEGORY,Animal Type,Period
6949,BOLUMAX (40 bolus),VLG_BOL40,BOLUMAX (40 bolus),"15,778","206,399",BOLUMAX,BURKINAVET,AFRICA,VETILOG PHARMA,PHARMA (&NUT),Production,YTD May 2026
642,TRISULMYCINE FORTE 10 X 100G,LAPR_TRISULM10x100G,TRISULMYCINE FORTE 10 X 100G,"12,369","128,381",TRISULMYCINE,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
7075,VITAMIX SACHET 150G,VTIF_VITA150G,VITAMIX SACHET 150G,"34,842","104,111",VITAMIX,BURKINAVET,AFRICA,VETIFRANCE,PHARMA (&NUT),Production,YTD May 2026
6234,GENECERYL 10x100G,GENV_GENC10x100G,GENECERYL 10x100G,"37,001","100,850",GENECERYL,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6322,GENEVET OXYTET 20% 100ml,GENV_OXY20,GENEVET OXYTET 20% 100ml,"35,800","89,450",GENEVET,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6554,AMIN'TOTAL b/10*150g,LAPR_AMIN10*150G,AMIN'TOTAL 10 x 150 g,"19,200","74,346",AMIN'TOTAL,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
8609,CEVAC IBD L 500 DS,CEVA_IBDL500,CEVAC IBD L 500 DS,"6,290","61,510",CEVAC,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6404,VETOVIT PLUS fl/100 ml,GENV_VETOVIT,VETOVIT PLUS 100ML,"19,220","60,381",VETOVIT,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6571,ANTICOX sachets 10 X 100 G,LAPR_ANT10*100G,ANTICOX sachets 10 X 100 G,"8,315","54,961",ANTICOX,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6724,VIRUNET 50 g,LAPR_VIRUN50G,VIRUNET 50 g,"29,920","53,580",VIRUNET,BURKINAVET,AFRICA,CEVA,Hygiene & Care,Production,YTD May 2026
6413,AVISHIELD IBD PLUS 1*1000 doses,GERA_IBDPLUS1000,AVISHIELD IBD PLUS 1*1000 doses,"5,115","52,701",AVISHIELD,BURKINAVET,AFRICA,VAXXINOVA,PHARMA (&NUT),Production,YTD May 2026
6671,TETRACOLIVIT 10 X 100 G,LAPR_TETRAC10*100G,TETRACOLIVIT 10 X 100 G,"15,050","49,644",TETRACOLIVIT,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6210,GENIDIUM b/10*1 g,GENV_DIUM10*1G,GENIDIUM 1G*10S,"1,643","47,074",GENIDIUM,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6315,GENEVET OXYTET 10% 100ml,GENV_OXY10,GENEVET OXYTET 10% 100ml,"22,336","43,338",GENEVET,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6430,AVISHIELD ND+IB H120 1*1000 Doses,GERA_NDH120_1000,AVISHIELD ND+IB H120 1*1000 Doses,"9,593","41,977",AVISHIELD,BURKINAVET,AFRICA,VAXXINOVA,PHARMA (&NUT),Production,YTD May 2026
2940,CEVAC BIL 500 DS,CEVA_BIL500,CEVAC BIL 500 DS,"9,238","41,350",CEVAC,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
5960,COCCIPROL (AMPROLIUM 20%) 10x100G,GENV_COCC100G,COCCIPROL (AMPROLIUM 20%) 10x100G,"13,752","39,043",COCCIPROL,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
7076,VITAMIX SUPER POT 1KG,VTIF_VITA1KG,VITAMIX SUPER POT 1KG,"2,053","36,315",VITAMIX,BURKINAVET,AFRICA,VETIFRANCE,PHARMA (&NUT),Production,YTD May 2026
6412,AVISHIELD IBD INT 1* 1000 DS,GERA_IBDINT1000,AVISHIELD IBD INT 1* 1000 DS,"8,709","34,341",AVISHIELD,BURKINAVET,AFRICA,VAXXINOVA,PHARMA (&NUT),Production,YTD May 2026
6259,LEVAMISOLE 20%  10 X 100G,GENV_LEVAM10X100G,LEVAMISOLE 20%  10 X 100G,"8,879","31,047",LEVAMISOLE,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6238,GENECERYL 1KG,GENV_GENC1KG,GENECERYL 1KG,"1,219","30,523",GENECERYL,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6643,BOLUVIT 250 BOLUS,LAPR_BOLUV,BOLUVIT 250 BOLUS,325,"28,514",BOLUVIT,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6944,BOLUMAX (100 BOLUS),VLG_BOL100,BOLUMAX (100 BOLUS),851,"28,008",BOLUMAX,BURKINAVET,AFRICA,VETILOG PHARMA,PHARMA (&NUT),Production,YTD May 2026
7078,VITAMIX SUPER 5 KG,VTIF_VITA5KG,VITAMIX SUPER 5 KG,410,"27,235",VITAMIX,BURKINAVET,AFRICA,VETIFRANCE,PHARMA (&NUT),Production,YTD May 2026
6183,"DIMINAZENE 10 x 23,6g",GENV_DIM_G_23.6G,"DIMINAZENE 10 x 23,6g","10,740","26,697",DIMINAZENE,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6398,VAMISOLE 300 (boite de 100),GENV_VAM300,VAMISOLE 300 (boite de 100),"3,607","25,661",VAMISOLE,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6651,HEPATURYL 10 X  100 G,LAPR_HEPAT10*100G,HEPATURYL 10 X  100 G,"11,340","24,950",HEPATURYL,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
7066,MEGAVIT 15G,VTIF_MEG15G,MEGAVIT 15G,"72,657","24,844",MEGAVIT,BURKINAVET,AFRICA,VETIFRANCE,PHARMA (&NUT),Production,YTD May 2026
6792,NOBILIS GUMBORO 228E fl/1000 d,MSD_GUM228E1000,Nobilis Gumboro 228E 1x1000ds,"1,815","24,767",NOBILIS,BURKINAVET,AFRICA,MSD,PHARMA (&NUT),Production,YTD May 2026
6439,GLOBIVAC NDK fl/1000 d,GLOB_NDK1000D,GLOBIVAC NDK 1000 Doses,973,"24,544",GLOBIVAC,BURKINAVET,AFRICA,GLOBION,PHARMA (&NUT),Production,YTD May 2026
1378,ASHOXY 20% POWDER -  PACK OF 10X5G Sachets,ALS_FGPDR0015,ASHOXY 20% POWDER -  PACK OF 10X5G Sachets,"103,930","24,000",ASHOXY,BURKINAVET,AFRICA,ASHISH LIFE SCIENCE PVT.LTD,PHARMA (&NUT),Production,YTD May 2026
6675,TETRACOLIVIT 100 COMPRIMES,LAPR_TETRAC100CP,TETRACOLIVIT 100 COMPRIMES,"2,726","22,789",TETRACOLIVIT,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6331,OXYTETRACYCLINE 50% 100G,GENV_OXY50.100G,OXYTETRACYCLINE 50% 100G,"4,430","22,531",OXYTETRACYCLINE,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Mix,YTD May 2026
6266,MAXAZOLE 2500 GREEN BOLUS JAR b/50,GENV_MAXPG25,MAXAZOLE 2500 50 CP (VERT - POT),"1,947","22,420",MAXAZOLE,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6576,ANTICOX pot 1 kg,LAPR_ANT1KG,ANTICOX pot 1 kg,398,"21,912",ANTICOX,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
2001,EURICAN DAPPI-L Boite de 10*1 dose,BOEH_EURI_1,EURICAN DAPPI-L Boite de 10*1 dose,"2,652","21,861",EURICAN,BURKINAVET,AFRICA,BOEHRINGER,PHARMA (&NUT),Companion,YTD May 2026
3393,GUMBORO L 500 DS,CEVA_GUMBO500,GUMBORO L 500 DS,"5,730","21,607",GUMBORO,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6380,GENSTREP 20/20 100ml,GENV_STREP,GENSTREP 20/20 100ml,"4,570","20,786",GENSTREP,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6401,VERMECTIN 1% 100ML,GENV_VER100,VERMECTIN 1% 100ML,"8,605","20,591",VERMECTIN,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Mix,YTD May 2026
6233,FERDEX PLUS 10% 100ML,GENV_FERDEX,FERDEX PLUS 10% 100ML,"6,541","20,197",FERDEX,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6954,CALMAX PHOS 500G,VTIF_CALM5,CALMAX PHOS 500G,"2,601","19,425",CALMAX,BURKINAVET,AFRICA,VETIFRANCE,PHARMA (&NUT),Production,YTD May 2026
6267,MAXAZOLE 2500 50 CP (BLANC - POT),GENV_MAXPW25,MAXAZOLE 2500 50 CP (BLANC - POT),"1,452","19,330",MAXAZOLE,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6444,GLOBIVAC NDK 100 Doses,GLOB_NDK100D,GLOBIVAC NDK 100 Doses,"4,548","19,153",GLOBIVAC,BURKINAVET,AFRICA,GLOBION,PHARMA (&NUT),Production,YTD May 2026
8681,NOBIVAC RABIES 1X1DOSE,MSD_RAGE1D,Nobivac Rage 1dose,"7,743","19,146",Nobivac,BURKINAVET,AFRICA,MSD,PHARMA (&NUT),Companion,YTD May 2026
6397,VAMISOLE 1000 (100 bolus),GENV_VAM1000,VAMISOLE 1000 (100 bolus),"1,407","18,513",VAMISOLE,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6883,CANIGEN CHPPI L 1DS,VIRB_CHPPIL1D,CANIGEN CHPPI L 1DS,"2,746","18,305",CANIGEN,BURKINAVET,AFRICA,VIRBAC,PHARMA (&NUT),Companion,YTD May 2026
6237,GENECERYL10X5G,GENV_GENC10X5G,GENECERYL10X5G,"74,340","17,437",GENECERYL,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
4439,ITA NEW FLU H9 500ML 1000DS,CEVA_NEWF1000,ITA NEW FLU H9 500ML 1000DS,236,"16,436",ITA,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
495,ALFATRIM 100GR,ALFA_ALFATRIM100G,ALFATRIM 100GR,"3,422","16,052",ALFATRIM,BURKINAVET,AFRICA,ALFASAN,PHARMA (&NUT),Production,YTD May 2026
6131,COCCIPROL 20% POUDRE b/1 kg,GENV_COCC1KG,COCCIPROL (AMPROLIUM 20%) 1 KG,543,"15,038",COCCIPROL,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6403,VERMECTIN 1% 50ML,GENV_VER50,VERMECTIN 1% 50ML,"10,353","14,826",VERMECTIN,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Mix,YTD May 2026
6655,LEVALAP 10 X 100 G,LAPR_LEVAL10*100G,LEVALAP 10 X 100 G,"2,550","13,736",LEVALAP,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6340,PHENYLVET 5 100ml,GENV_PHENYL100,PHENYLVET 5 100ml,"5,022","13,596",PHENYLVET,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6730,TERACYL 50% P.O SCH 100G,MEDI_PFM0124S,TERACYL 50% P.O SCH 100G,"3,602","13,265",TERACYL,BURKINAVET,AFRICA,MEDIVET,PHARMA (&NUT),Production,YTD May 2026
196,NEXGARD SPECTRA PIES L 3 TABL. DO ?UCIA,BOEH_NXSPL,NEXGARD SPECTRA L ( 15-30KG) boite de 3 cpr,482,"12,973",NEXGARD,BURKINAVET,AFRICA,BOEHRINGER,PHARMA (&NUT),Companion,YTD May 2026
9935,IVOMEC D flacon 50ML,BOEH_IVOMEC,IVOMEC D flacon 50ML,445,"12,881",IVOMEC,BURKINAVET,AFRICA,BOEHRINGER,PHARMA (&NUT),Production,YTD May 2026
6421,AVISHIELD IB H120  1x1000 Doses,GERA_IBH120_1000,AVISHIELD IB H120  1x1000 Doses,"4,080","12,856",AVISHIELD,BURKINAVET,AFRICA,VAXXINOVA,PHARMA (&NUT),Production,YTD May 2026
6719,VETOSPRAY bbe/250ml,LAPR_VETOSP,VETOSPRAY 250 ML,"2,056","12,692",VETOSPRAY,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6663,PROCALCIUM 500 G,LAPR_PROCAL,PROCALCIUM 500 G,"1,204","12,600",PROCALCIUM,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6389,TYLOSINE 20% 100ML,GENV_TYL20%,TYLOSINE 20% 100ML,"3,822","12,529",TYLOSINE,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6349,STOPTIC 12.5% 100ML,GENV_STOPTIC100ML,STOPTIC 12.5% 100ML,"4,561","11,336",STOPTIC,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6625,BENZAL 300 MG (50 bolus),LAPR_BENZ30,BENZAL 300 MG (50 bolus),"2,288","11,258",BENZAL,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6325,GENEVET OXYTET 5% fl/100 ml,GENV_OXY5,GENEVET OXYTET 5% 100ml,"7,647","11,182",GENEVET,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6708,VERMITAN 2500MG 10X5 Bolus (50 Boli),LAPR_VERM,VERMITAN 2500MG 10X5 Bolus (50 Boli),753,"10,277",VERMITAN,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6240,GENEVIT 10 X 150 G,GENV_GEVIT10x150G,GENEVIT 10 X 150 G,"3,177","10,202",GENEVIT,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6623,AVI POX 1000ds,LAPR_AVIPOX1000,AVI POX 1000ds,"1,003","9,908",AVI,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
3357,CEVAC CORYMUNE 7K 500ML 1000 DOSES,CEVA_COR7_1000,CEVAC CORYMUNE 7K 500ML 1000 DOSES,85,"8,903",CEVAC,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6658,LAPROVET OXY 10% 100mL,LAPR_OXY10,LAPROVET OXY 10% 100mL,"3,011","8,739",LAPROVET,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6361,"STOPTIC 12,5% 1L",GENV_STOPTIC1L,"STOPTIC 12,5% 1L",458,"8,458",STOPTIC,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6309,MEVIPOW 50G,GENV_MEVIP50G,MEVIPOW 50G,"5,409","8,453",MEVIPOW,BURKINAVET,AFRICA,GENEVET,Hygiene & Care,Production,YTD May 2026
163,NEXGARD SPECTRA PIES XL 3 TABL. DO ?UCIA,BOEH_NEXGXL_30-60_3CP,NEXGARD XL (30-60 KG) Boite de 3 comprimés,287,"8,244",NEXGARD,BURKINAVET,AFRICA,BOEHRINGER,PHARMA (&NUT),Companion,YTD May 2026
6720,VIRUNET pot 1kg,LAPR_VIRUN1KG,VIRUNET pot 1kg,280,"7,635",VIRUNET,BURKINAVET,AFRICA,CEVA,Hygiene & Care,Production,YTD May 2026
6771,NOBILIS CORYZA INACTIVE fl/1000 d,MSD_CORYZ1000,Nobilis Coryza Inac 1x1000ds,164,"7,416",NOBILIS,BURKINAVET,AFRICA,MSD,PHARMA (&NUT),Production,YTD May 2026
6434,AVISHIED ND La Sota 1x1000 Doses,GERA_NDLSTA1000D,AVISHIED ND La Sota 1x1000 Doses,"3,311","6,968",AVISHIELD,BURKINAVET,AFRICA,VAXXINOVA,PHARMA (&NUT),Production,YTD May 2026
6640,BOLUMISOLE M1 100 BOLUS,LAPR_BOLM1,BOLUMISOLE M1 100 BOLUS,584,"6,563",BOLUMISOLE,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6248,LEVAMISOLE 20% POUDRE b/1 kg,GENV_LEVA1KG,LEVAMISOLE 20% 1 kg,226,"6,453",LEVAMISOLE,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6250,LEVAMISOLE 20% 5G,GENV_LEVA5G,LEVAMISOLE 20% 5G,"25,290","6,417",LEVAMISOLE,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6336,PHENOXYZONE 100ml,GENV_PHENOX100,PHENOXYZONE 100ml,"1,336","6,256",PHENOXYZONE,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Mix,YTD May 2026
6814,NOBILIS MA5+CLONE 30 fl/1000 d,MSD_MA5CLO1000,Nobilis Ma5+Clone 30 1x1000ds,697,"6,001",Nobilis,BURKINAVET,AFRICA,MSD,PHARMA (&NUT),Production,YTD May 2026
6988,HEPATOVITAL POUDRE 100G,VTIF_HEPAPDRE100G,HEPATOVITAL POUDRE 100G,"3,623","5,886",HEPATOVITAL,BURKINAVET,AFRICA,VETIFRANCE,PHARMA (&NUT),Production,YTD May 2026
6717,VERMIFUGE POLYVALENT VOLAILLES (V.P.V) 100 COMPRIMES,LAPR_VERMIF,VERMIFUGE POLYVALENT VOLAILLES (V.P.V) 100 COMPRIMES,655,"5,790",VERMIFUGE,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6556,LAPROVET AMPROLIUM 20% 10 X 100 g,LAPR_AMP10*100G,LAPROVET AMPROLIUM 20% 10 X 100 g,"1,270","5,567",AMPROLIUM,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6063,COCCIPROL (AMPROLIUM 20%) 10*25G,GENV_COCC10x25G,COCCIPROL (AMPROLIUM 20%) 10*25G,"5,740","5,466",COCCIPROL,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6360,STOPTIC 12.5% 10 X 15ML,GENV_STOPTIC10X15,STOPTIC 12.5% 10 X 15ML,"10,099","5,220",STOPTIC,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
1181,FINIWORM sachet 100 GR,ALFA_FINIW100G,FINIWORM sachet 100 GR,"2,545","5,053",FINIWORM,BURKINAVET,AFRICA,ALFASAN,PHARMA (&NUT),Production,YTD May 2026
5930,BETA COMPLEX 100ml,GENV_BETA,BETA COMPLEX 100ml,"2,361","5,006",BETA,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6343,PHENYLVET 5 30ML,GENV_PHENYL30,PHENYLVET 5 30ML,"4,866","4,885",PHENYLVET,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6555,AMIN'TOTAL pot 1 kg,LAPR_AMIN1KG,AMIN'TOTAL pot 1 kg,172,"4,422",AMIN'TOTAL,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6742,"ANTHELBEN S 2,5% SP.O FL 1L",MEDI_PFM0327L,"ANTHELBEN S 2,5% SP.O FL 1L","1,032","4,407",ANTHELBEN,BURKINAVET,AFRICA,MEDIVET,PHARMA (&NUT),Production,YTD May 2026
2966,REGUMATE fl/990 ml sol buv,MSD_REGUM,REGUMATE PORC Flacon de 990ML,21,"4,134",REGUMATE,BURKINAVET,AFRICA,MSD,PHARMA (&NUT),Companion,YTD May 2026
1387,ASHOXY 20% POWDER b/10*100g,ALS_OXY20.10X100,ASHOXY 20% POWDER PACK OF 10X100g SACHETS,"1,840","4,090",ASHOXY,BURKINAVET,AFRICA,ASHISH LIFE SCIENCE PVT.LTD,PHARMA (&NUT),Production,YTD May 2026
6337,PHENOXYZONE 50ML,GENV_PHENOX50,PHENOXYZONE 50ML,"1,490","4,068",PHENOXYZONE,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Mix,YTD May 2026
7546,VETRIMOXIN 48H CLASS fl 100 ml,CEVA_VETRI,VETRIMOXIN 100ML,343,"3,647",VETRIMOXIN,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6269,MEVIPOW 1KG,GENV_MEVIP1KG,MEVIPOW 1KG,202,"3,550",MEVIPOW,BURKINAVET,AFRICA,GENEVET,Hygiene & Care,Production,YTD May 2026
28659,Nobilis IB MULTI + ND + EDS  1x1000ds,MSD_IBMNDEDS_1000,Nobilis IB MULTI + ND + EDS  1x1000ds,32,"3,547",Nobilis,BURKINAVET,AFRICA,MSD,PHARMA (&NUT),Production,YTD May 2026
1518,ASHOXY 20% POWDER-PACK OF 10X25 g SACHETS,ALS_OXY20.10X25,ASHOXY 20% POWDER-PACK OF 10X25 g SACHETS,"4,810","3,277",ASHOXY,BURKINAVET,AFRICA,ASHISH LIFE SCIENCE PVT.LTD,PHARMA (&NUT),Production,YTD May 2026
6805,NOBILIS IB 4 91 1.000 DS,MSD_IB4/91_1000,Nobilis IB 4-91 1x1000ds,349,"3,231",Nobilis,BURKINAVET,AFRICA,MSD,PHARMA (&NUT),Production,YTD May 2026
174,NEXGARD SPECTRA PIES M 3 TABL. DO ?UCIA,BOEH_NEXGM_8-15_3CP,NEXGARD SPECTRA M (8-15 KG) Boite de 3 comprimés,133,"3,172",NEXGARD,BURKINAVET,AFRICA,BOEHRINGER,PHARMA (&NUT),Companion,YTD May 2026
6644,FERRO BLOC 100 BOLUS,LAPR_FERRO,FERRO BLOC 100 BOLUS,61,"3,168",FERRO,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
942,ENROFLOXACINE 10% 1 LITRE,ALFA_ENROF10%1L,ENROFLOXACINE 10% 1 LITRE,178,"2,722",ENROFLOXACINE,BURKINAVET,AFRICA,ALFASAN,PHARMA (&NUT),Production,YTD May 2026
6381,TROXIL 25% 100ML,GENV_TROX100ML,TROXIL 25% 100ML,381,"2,651",TROXIL,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
882,COCCONTROL 20% 10x100GR,ALFA_COCC20%10x100G,COCCONTROL 20% 10x100GR,910,"2,464",COCCONTROL,BURKINAVET,AFRICA,ALFASAN,PHARMA (&NUT),Production,YTD May 2026
6953,CALGOMAX PONTE 1L,VTIF_CALGO1,CALGOMAX PONTE 1L,299,"2,034",CALGOMAX,BURKINAVET,AFRICA,VETIFRANCE,PHARMA (&NUT),Production,YTD May 2026
6638,BOLUMISOLE M3 b/100,LAPR_BOL3,BOLUMISOLE 3 (100 bolus),83,"2,010",BOLUMISOLE,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
4507,PRIMODOG b/10*1 d sol inj,BOEH_PRIMO1D,PRIMODOG 10*1ds,357,"2,008",PRIMODOG,BURKINAVET,AFRICA,BOEHRINGER,PHARMA (&NUT),Companion,YTD May 2026
6877,VITA-C VETOQUINOL 50ML,VETO_VITAC50ML,VITA-C VETOQUINOL 50ML,450,"1,893",VITA-C,BURKINAVET,AFRICA,VETOQUINOL,PHARMA (&NUT),Mix,YTD May 2026
6729,NEOVITACYL P.O SCH 100G,MEDI_PFM0115S,NEOVITACYL P.O SCH 100G,"1,158","1,886",NEOVITACYL,BURKINAVET,AFRICA,MEDIVET,PHARMA (&NUT),Production,YTD May 2026
6815,Nobils MA5+Clone 30 1x2500ds,MSD_MA5CLO2500,Nobils MA5+Clone 30 1x2500ds,148,"1,870",Nobilis,BURKINAVET,AFRICA,MSD,PHARMA (&NUT),Production,YTD May 2026
6725,AMOXIDOL 10% P.O SCH 100G,MEDI_PFM0102S,AMOXIDOL 10% P.O SCH 100G,736,"1,850",AMOXIDOL,BURKINAVET,AFRICA,MEDIVET,PHARMA (&NUT),Production,YTD May 2026
4093,ITA ND+IB+EDS 1000 Doses,CEVA_ITANDIBEDS1000,ITA ND+IB+EDS 1000 Doses,24,"1,553",ITA,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6734,BOVIGASTRYL P.O SCH 125G,MEDI_PFM0201S,BOVIGASTRYL P.O SCH 125G,"1,112","1,540",BOVIGASTRYL,BURKINAVET,AFRICA,MEDIVET,PHARMA (&NUT),Production,YTD May 2026
6124,COCCIPROL 20% POUDRE b/10*5 g,GENV_COCC10x5G,COCCIPROL (AMPROLIUM 20%) 10*5G,"4,490","1,411",COCCIPROL,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
2622,OKZAN F b/100 cpr,CEVA_OKZAN,OKZAN F 100CP,72,"1,383",OKZAN,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6427,AVISHIELD ND B1 1*1000 doses,GERA_NDB1_1000,AVISHIELD ND B1 1*1000 doses,443,"1,053",AVISHIELD,BURKINAVET,AFRICA,VAXXINOVA,PHARMA (&NUT),Production,YTD May 2026
7069,VETIPONTE E + SEL 1 L,VTIF_VETIP1L,VETIPONTE E + SEL 1 L,108,"1,014",VETIPONTE,BURKINAVET,AFRICA,VETIFRANCE,PHARMA (&NUT),Production,YTD May 2026
7038,HEPATOVITAL POUDRE 1KG,VTIF_HEPAPDRE1KG,HEPATOVITAL POUDRE 1KG,96,870,HEPATOVITAL,BURKINAVET,AFRICA,VETIFRANCE,PHARMA (&NUT),Production,YTD May 2026
6219,GENIDIUM  10 X 125MG,GENV_DIUM10X125MG,GENIDIUM  10 X 125MG,120,786,GENIDIUM,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6558,LAPROVET AMPROLIUM 20% pot 1 kg,LAPR_AMP1KG,LAPROVET AMPROLIUM 20% pot 1 kg,20,775,AMPROLIUM,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
5809,AD3E 20/4/4 250ML,GENV_AD3E250ML,AD3E 20/4/4 250ML,178,745,AD3E,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6377,"STOPTIC 12,5% 250 ml ",GENV_STOPTIC250ML,"STOPTIC 12,5% 250 ml",129,715,STOPTIC,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
6764,BRONCHI-STOP FL 100ML,MEDI_PFM0823L,BRONCHI-STOP FL 100ML,545,712,BRONCHI-STOP,BURKINAVET,AFRICA,MEDIVET,PHARMA (&NUT),Production,YTD May 2026
5582,CEVAC VITABRON L fl/2000 d sol inj,CEVA_VITA2000,CEVAC VITABRON L 2000 DS,68,686,CEVAC,BURKINAVET,AFRICA,CEVA,PHARMA (&NUT),Production,YTD May 2026
6313,MEVISAN 1L,GENV_MEVIS1L,MEVISAN 1L,33,520,MEVISAN,BURKINAVET,AFRICA,GENEVET,Hygiene & Care,Production,YTD May 2026
335,NEXGARD SPECTRA PIES S 3 TABL. DO ?UCIA,BOEH_NXSPS,"NEXGARD SPECTRA S (3,5-7,5 KG) boite de 3 cpr",21,483,NEXGARD,BURKINAVET,AFRICA,BOEHRINGER,PHARMA (&NUT),Companion,YTD May 2026
6192,"DIMINAZENE B12 2,36MG b/10 sach",GENV_DIM_P_2.36G,"DIMINAZENE 10 x 2,36g","1,021",473,DIMINAZENE,BURKINAVET,AFRICA,GENEVET,PHARMA (&NUT),Production,YTD May 2026
